id,name,SSN,date,loan_amt,amt_due,amt_paid,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
1,Sonia Mcguire,127-912-656,04-01-2016,44900,59380,59380,05,29,1,2,62640.238,69754.867,0,625,29300,48100,6.1999998,189881
2,Donald Rice,264-773-211,05-03-2016,42500,56206,27177,01,35,0,2,42022.379,15300.653,0,609,32700,0,6.21,208060
3,Ida Cobb,483-895-109,04-04-2016,43400,57396,57396,05,37,0,3,70157.508,68463.5,0,686,43400,45300,6.3800001,215624
4,Eugene Ray,953-448-267,07-03-2016,43200,57131,57131,04,25,0,2,53499.676,54777.664,0,679,48600,17200,7,202893
5,Vernon Clark,451-579-797,08-06-2016,43600,57660,57660,04,33,0,2,23743.889,9819.7744,0,560,44600,0,6.2600002,183658
6,Cesar Johnson,544-054-258,07-04-2016,42000,55544,55544,02,42,1,2,34821.051,35569.945,2,618,43800,0,6.6399999,175096
7,Joy Webb,439-869-360,03-02-2016,43900,58057,36276,05,24,1,2,58156.18,51248.309,3,631,46800,92400,7.3899999,192471
8,Victor Hamilton,099-816-268,05-03-2016,42100,55677,55677,01,38,1,1,26680.5,42651.332,3,601,49400,0,5.8899999,187991
9,Kristine Barker,822-331-527,03-06-2016,41900,55412,20873,05,39,0,2,35805.719,39298.879,0,591,53300,0,7.0999999,244479
10,Seth Schwartz,833-495-869,02-06-2016,43200,57131,28949,05,39,0,2,51207.473,77363.078,0,665,46700,245600,7.29,218569
11,Clifford May,518-775-387,07-05-2016,42100,55677,29611,01,32,0,2,35442.055,27933.889,0,667,28400,0,6.3899999,176661
12,Bobbie Patton,855-647-213,04-02-2016,44600,58983,39278,01,34,0,2,55563.219,25550.105,0,688,44300,157100,6.52,217883
13,Charlene Edwards,176-863-762,04-05-2016,44100,58322,58322,04,32,0,2,57689.285,53918.473,0,645,45200,0,6.2600002,205787
14,Genevieve Greer,259-637-781,05-04-2016,44100,58322,58322,01,34,0,2,50896.551,48973.574,0,608,48200,0,6.5300002,207188
15,Kenny Gonzales,597-242-014,04-01-2016,46600,61628,12667,05,37,1,1,5561.73,15760.729,1,486,38900,0,6.4000001,194393
16,Lydia Frank,515-061-036,07-02-2016,44000,58189,35390,02,37,1,3,63981.48,50218.934,2,690,54500,81400,6.6100001,184833
17,Kathleen Manning,054-417-678,04-04-2016,44100,58322,58322,04,38,0,2,55163.676,61471.316,0,669,49600,0,6.5500002,150532
18,Cornelius Spencer,435-858-771,03-06-2016,44600,58983,18427,01,36,0,2,20026.117,38547.703,0,538,47400,0,7.27,188691
19,Lucy Dixon,627-372-666,05-04-2016,50500,66786,66786,04,35,1,2,73788.289,64240.723,2,708,35400,0,6.0900002,199339
20,Peter Leonard,139-576-604,08-05-2016,43300,57264,35834,04,41,0,2,57700.613,76652.008,0,728,29700,81700,6.2199998,163510
21,Beatrice Hodges,190-164-952,05-02-2016,43900,58057,36278,02,41,0,2,53392.574,41837.32,0,693,51100,11000,6.1799998,184968
22,Don Wagner,853-963-293,07-06-2016,48400,64008,43293,05,36,1,2,79323.414,58602.191,0,713,44200,32800,6.77,199204
23,Fred Peters,710-102-407,09-01-2016,42600,56338,26539,05,36,1,2,47186.051,27921.654,0,607,43500,64100,5.9299998,198836
24,Maxine Warner,171-515-649,01-04-2016,43300,57264,57264,03,37,0,2,50203.719,21854.943,0,656,57900,77800,7.3899999,203677
25,Jessica Wong,500-907-068,09-04-2016,42900,56735,17309,04,35,0,2,15905.522,30285.031,0,538,37000,88800,5.52,156901
26,George Valdez,860-686-035,03-01-2016,50500,66786,19321,03,41,0,2,24.624636,16207.614,0,505,12000,0,7.1500001,163599
27,Bradley Farmer,424-027-992,08-07-2016,42900,56735,20123,03,31,0,3,26017.361,19756.781,0,543,42300,0,6.27,171482
28,Eddie Morrison,368-539-384,03-03-2016,42400,56073,56073,04,37,1,2,30401.535,38242.746,0,569,39800,69500,7.0300002,170440
29,Edwin Sanders,405-607-267,05-04-2016,42600,56338,14737,01,40,0,2,6251.8296,20830.988,0,527,51700,61300,6.3899999,186200
30,Sara Walters,442-697-729,01-05-2016,42100,55677,55677,01,36,0,2,32583.496,35142.289,0,589,32400,108100,7.7800002,213880
31,Toby Myers,666-410-084,07-03-2016,42000,55544,25190,02,39,1,3,28278.549,43361.762,3,611,51600,261700,6.6100001,192718
32,Rufus Morton,870-560-476,09-04-2016,41400,54751,25676,04,33,1,2,23623.986,24093.748,1,569,34200,26200,5.8000002,181749
33,Barry Simpson,813-190-492,02-03-2016,42700,56470,56470,04,34,0,2,46952.359,46593.098,0,609,53800,2000,7.3000002,191712
34,Freddie Ballard,627-400-344,06-01-2016,42900,56735,56735,04,34,0,2,49560.023,54431.324,0,598,45100,0,6.6900001,181231
35,Wendell Hogan,526-999-147,07-01-2016,47400,62686,62686,01,36,0,3,86981.227,76995.695,0,791,53800,0,6.48,181338
36,Evan Rivera,094-109-564,06-07-2016,43200,57131,17513,05,34,0,2,27920.824,25814.342,0,540,43800,39200,6.6300001,185614
37,Shane Aguilar,080-276-868,10-03-2016,45900,60702,60702,03,39,1,2,19370.428,25801.461,3,539,35700,0,5.54,195928
38,Joel Gordon,664-010-842,06-07-2016,58300,77101,12617,04,30,1,2,0,0,0,457,53500,3800,6.3499999,197620
39,Emilio Glover,575-083-546,07-02-2016,41800,55280,15207,05,45,1,2,19767.67,33051.164,2,568,52000,0,6.79,202255
40,Chris Joseph,592-770-623,03-02-2016,45800,60570,60570,01,34,0,2,63502.41,51880.098,0,597,48600,0,7.02,212904
41,Dora Dawson,014-716-465,06-07-2016,42500,56206,56206,05,33,0,2,30234.246,28902.563,0,576,43300,25800,6.4000001,172903
42,Andres French,130-146-888,05-03-2016,47400,62686,36730,04,28,0,2,76353.75,63410.121,0,613,47700,0,6.4499998,183800
43,Eileen Bell,459-999-092,08-06-2016,48300,63876,63876,01,32,1,2,72281.359,76417.477,2,719,54600,41800,6.23,184730
44,Patsy Norman,141-733-678,07-07-2016,46000,60834,22593,01,28,1,2,10318.068,7170.0967,3,532,59300,82000,6.5700002,185974
45,Rosemary Freeman,752-226-036,07-06-2016,43000,56867,56867,05,35,0,2,50913.195,62842.945,0,664,34700,0,6.6700001,209940
46,Johnny Gross,327-089-522,04-07-2016,42500,56206,32506,04,25,0,2,45325.313,46121.152,0,605,60800,69500,6.3099999,204149
47,Roderick Pratt,354-146-592,08-01-2016,42200,55809,55809,04,30,0,3,41088.73,67078.367,0,604,45000,0,6.23,218301
48,Ruth Flores,545-758-864,09-04-2016,45700,60438,42180,02,36,1,2,64595.242,63620.27,2,716,33700,26400,6.1599998,198085
49,Elaine Lamb,306-506-543,07-06-2016,43600,57660,57660,01,37,0,2,55340.012,43400.129,0,691,44100,173700,6.52,214062
50,Aubrey Higgins,816-962-732,05-02-2016,53400,70621,70621,04,39,0,2,88987.586,86179.883,0,778,39100,95100,6.4899998,195328
51,Dallas Jimenez,852-211-097,05-01-2016,42300,55941,55941,01,45,1,2,39506.754,33649.18,0,645,46200,54700,6.2399998,193837
52,Wade Mathis,098-218-884,08-06-2016,43100,56999,18897,02,36,1,1,16177.997,27859.387,0,528,52600,151000,6.4200001,193185
53,Kendra Ruiz,582-317-498,02-02-2016,42000,55544,24249,05,38,0,2,38602.051,16407.662,0,604,48200,0,7.1599998,224660
54,Jeff Walsh,849-154-234,05-03-2016,43100,56999,56999,04,37,1,2,16496.402,0,2,587,37000,32000,6.1799998,192814
55,Philip Castillo,975-856-987,07-04-2016,42700,56470,26584,05,35,0,2,48278.453,37268.895,0,632,35800,0,6.4400001,204355
56,Cecil Taylor,878-701-650,06-03-2016,44600,58983,58983,02,31,1,2,55762.262,43847.336,0,633,37000,89500,6.9299998,194060
57,Constance Ryan,225-493-362,05-07-2016,42100,55677,26396,04,36,0,2,35592.141,43914.395,0,609,39300,82000,6.4200001,180294
58,Ray Potter,484-668-954,05-06-2016,44600,58983,21263,03,32,0,2,24859.016,18475.74,0,548,41500,0,6.4200001,205773
59,Edward Fox,483-697-435,02-07-2016,43200,57131,57131,01,35,1,2,49566.176,19003.162,1,656,44500,0,7.2399998,173896
60,Theresa Miller,922-192-941,06-07-2016,43000,56867,56867,02,24,0,1,47989.625,19089.844,0,645,46600,138300,6.2800002,185086
61,Hugh Lawson,081-164-732,03-07-2016,43000,56867,24645,04,35,0,2,50267.789,61444.828,0,636,53200,54900,7.0900002,192714
62,Kari Goodwin,395-323-665,08-03-2016,42700,56470,22847,02,32,1,3,19786.986,43711.164,1,575,40800,0,6.02,190073
63,Tara Hughes,105-545-177,06-03-2016,42400,56073,35737,04,31,1,2,44228.465,50112.438,0,633,47600,227500,7.02,167114
64,Nettie Mccoy,971-747-484,04-04-2016,46400,61363,39339,01,32,1,2,75761.164,71879.813,1,724,53500,53300,6.1900001,192181
65,Leo Rose,234-936-079,07-06-2016,41900,55412,55412,05,43,0,2,24143.547,0,0,604,60400,105400,6.3000002,194178
66,Morris Phillips,813-033-876,07-02-2016,43400,57396,57396,04,47,1,2,62510.984,52571.117,2,761,36400,0,6.6199999,181645
67,Cedric Ortiz,949-960-401,06-01-2016,42100,55677,30223,03,35,1,2,37334.238,32676.904,1,628,54600,0,6.52,177945
68,Ricky Duncan,737-595-043,07-04-2016,40500,53561,35678,03,32,0,2,78400.281,86901.977,0,682,52200,81400,6.4299998,193807
69,Shawn Bates,937-212-931,06-03-2016,44600,58983,58983,01,28,0,2,62955.625,58695.391,0,617,58200,0,6.6700001,203692
70,Candice Warren,361-793-678,06-07-2016,42500,56206,31022,05,32,1,2,46431.336,54042.598,1,617,53200,0,6.27,176473
71,Dean Chandler,850-016-921,06-07-2016,41700,55148,55148,01,28,0,2,26829.002,0,0,443,43500,0,6.77,197390
72,Ruby Alvarado,094-955-648,08-02-2016,42800,56602,56602,05,41,1,2,49578.191,35965.672,2,705,56900,0,6.1999998,203179
73,Terrell Hopkins,064-137-911,07-05-2016,45300,59909,33727,01,36,1,3,57264.715,60597.379,0,691,48000,42900,6.6300001,201760
74,Alberto Washington,981-561-364,07-05-2016,44100,58322,20205,03,24,1,1,18165.615,0,0,482,33800,0,6.54,205064
75,Tabitha Parsons,695-555-029,08-02-2016,53600,70885,70885,01,33,1,3,81526.82,63705.828,1,738,54300,0,6.1900001,192827
76,Colleen Francis,685-306-013,06-03-2016,42800,56602,56602,01,35,1,2,45070.16,52863.715,0,601,54000,0,6.4400001,221523
77,Shelley Holland,453-838-134,07-06-2016,42600,56338,26763,04,36,1,1,45485.914,59199.242,0,600,41400,0,6.5700002,201834
78,Lucas Townsend,195-288-151,08-01-2016,44200,58454,58454,02,40,1,3,62377.895,40496.719,2,712,38500,0,6.4899998,196388
79,Betty King,604-266-202,03-02-2016,42500,56206,56206,05,26,1,2,46118.715,54829.02,1,525,45900,16700,7.1799998,187666
80,Shelia Becker,389-934-254,06-06-2016,45600,60305,60305,01,38,1,2,63604.883,73017.039,2,742,40600,0,6.8299999,218775
81,Jacob Cross,021-880-779,07-07-2016,44100,58322,58322,04,32,1,3,18240.494,65455.734,3,528,46900,92100,6.4899998,183114
82,Bobby Gibson,727-059-938,05-06-2016,52000,68769,68769,03,32,1,3,77615.32,85387.344,1,710,34600,11400,6.3400002,161794
83,Rhonda Schneider,320-380-458,03-06-2016,42200,55809,55809,02,39,1,2,30466.734,31454.805,2,588,40200,0,7.0300002,150275
84,Marco Mckinney,432-111-526,05-05-2016,45700,60438,60438,05,35,0,2,66046.117,64162.262,0,729,43800,41900,6.3200002,166667
85,Forrest Vargas,606-977-386,02-06-2016,47400,62686,62686,02,29,1,2,10067.146,25282.949,3,518,37100,102000,7.4899998,213551
86,Frederick George,770-502-592,05-05-2016,42400,56073,31341,05,36,1,2,44093.211,48815.906,1,627,43200,0,6.1900001,205427
87,Terry Brown,386-444-648,05-01-2016,42500,56206,25231,03,35,1,2,44359.613,49790.469,2,626,44300,0,6.1300001,168032
88,Terri Houston,521-309-564,05-02-2016,49600,65595,51429,05,36,0,2,94825.047,96919.945,0,755,41700,26400,6.3299999,182577
89,Tamara Green,404-297-068,05-05-2016,42900,56735,56735,04,41,1,2,49398.289,54389.746,3,659,34600,0,6.0999999,191437
90,Raul Fernandez,412-194-371,05-02-2016,42400,56073,23225,02,36,0,2,26451.23,36870.129,0,532,51100,8200,6.0999999,180850
91,Tricia Schultz,465-330-438,05-01-2016,42200,55809,28740,02,35,0,2,36567.848,30386.822,0,596,29800,0,6.29,166826
92,Gina Steele,173-671-479,07-03-2016,43200,57131,37265,01,37,1,3,49311.129,23720.445,1,659,67400,0,6.7199998,166123
93,Natalie Buchanan,419-083-273,06-05-2016,43300,57264,57264,01,32,1,2,49843.785,45216.629,1,645,38800,64800,6.0599999,179751
94,Ellen Cooper,010-469-258,08-01-2016,43200,57131,36772,01,39,0,3,50411.496,25399.178,0,693,37100,0,6.2399998,180424
95,Catherine Santiago,635-672-462,05-06-2016,47800,63215,63215,05,37,1,2,84076.867,88948.094,0,769,50000,0,6.0900002,185876
96,Gilbert Jennings,426-254-886,07-04-2016,42300,55941,55941,03,34,1,2,40754.816,49107.496,2,618,54100,75100,6.5799999,174640
97,Michele Stokes,344-301-409,08-06-2016,41500,54883,54883,02,38,0,2,98962.422,84746.719,0,855,53400,43500,5.8899999,171423
98,Elsa Singleton,216-169-810,08-05-2016,46900,62025,62025,03,41,1,2,67782.188,72034.711,2,741,59200,0,6.4099998,191533
99,Myrtle Garner,401-197-055,05-01-2016,42100,55677,21061,02,38,1,1,34659.418,40008.77,3,594,45000,98600,6.1300001,192191
100,Alvin Drake,661-170-611,05-07-2016,53500,70753,57726,04,35,0,2,79215.867,74294.492,0,774,57000,83500,6,200465
101,Penny Morton,419-060-778,03-01-2016,52500,69431,69431,05,30,0,2,86738.578,65838.922,0,732,62600,75000,7.52,186932
102,Blake Mitchell,043-484-444,01-04-2016,42100,55677,23260,04,40,1,2,26337.701,12389.59,3,608,53100,10800,7.8299999,179810
103,Virginia Luna,092-270-362,03-05-2016,47700,63083,63083,03,38,1,2,68024.719,57905.836,0,689,43000,0,6.9099998,173426
104,Pedro Bradley,836-156-762,06-05-2016,42800,56602,56602,02,38,1,2,22151.246,40061.391,3,609,65600,52600,6.79,198172
105,Allison Grant,289-645-897,04-05-2016,45100,59644,59644,04,37,0,2,63828.684,57664.961,0,702,35200,16200,6.3899999,189324
106,Rex Chambers,701-439-300,08-06-2016,43600,57660,57660,01,37,0,2,55051.754,83258.914,0,668,48100,41000,6.1500001,178508
107,Brian Gibbs,602-942-795,10-01-2016,42600,56338,32472,02,29,0,2,43924.164,26822.383,0,635,47100,0,5.4899998,206700
108,Josefina Rowe,102-551-505,08-04-2016,42000,55544,26259,05,32,1,2,30887.793,40791.043,1,583,43200,0,6.5900002,182664
