id,name,SSN,date,loan_amt,amt_due,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
251,Jim Roy,491-093-184,08-03-2017,44500,58851,01,31,1,2,15879.215,17746.184,1,485,57600,0,6.6300001,180535
252,Freddie Reeves,417-613-692,04-02-2017,45700,60438,01,28,0,2,5609.9097,7785.7944,0,491,58400,35200,6.4099998,191987
253,Lucille Warner,296-466-552,07-06-2017,54000,71414,05,37,1,3,89692.336,96216.75,1,749,40100,89100,6.3899999,189003
254,Jodi Morrison,297-820-083,04-07-2017,56500,74721,03,45,0,2,87959.203,102277.67,0,860,39700,47600,6.27,195383
255,Beverly Lynch,047-612-280,03-02-2017,42600,56338,01,40,0,2,43523.414,37054.184,0,659,47000,0,6.7800002,190348
256,Jo Norman,550-385-807,06-06-2017,45300,59909,02,28,0,2,70877.18,39859.941,0,712,42700,0,6.6100001,183972
257,Mike Simon,643-030-722,02-06-2017,47100,62289,01,33,1,3,8081.2451,10589.769,3,566,41100,900,7.4400001,201752
258,Rex Nichols,897-902-462,02-04-2017,43200,57131,01,40,1,3,53295.699,29326.09,2,678,61500,26500,7.7199998,209730
259,Betty Harrington,749-721-874,02-06-2017,45100,59644,05,38,1,2,74323.422,65148.5,1,722,45600,147200,7.02,179370
260,Bradley Pratt,175-182-109,04-04-2017,46700,61760,02,35,1,2,88146.266,83056.672,1,714,29100,110900,6.3400002,172721
261,Eric Casey,567-943-443,07-02-2017,42200,55809,05,34,0,2,41786.418,31444.717,0,583,49400,0,6.4200001,188710
262,Alexandra Underwood,434-375-876,05-07-2017,42400,56073,03,35,1,2,43186.773,42889.832,0,632,54200,0,6.1700001,187800
263,Felix Webster,897-254-690,05-01-2017,43600,57660,04,36,0,2,58557.863,51130.699,0,700,42400,64400,6.3099999,175804
264,Moses Young,996-391-772,06-05-2017,44400,58718,04,32,0,2,62742.723,75857.32,0,687,36200,37000,6.5300002,193316
265,Lillie Conner,384-920-439,02-07-2017,44800,59247,03,40,0,2,68931.148,63938.266,0,717,33200,0,7.4400001,194293
266,Abraham Malone,908-152-434,04-06-2017,59400,78556,04,34,1,1,0,0,3,489,46700,0,6.3000002,156953
267,Dwight Johnson,617-670-364,02-05-2017,47700,63083,01,36,0,2,11182.011,25276,0,522,30100,106600,7.21,177367
268,Mamie Dawson,719-370-347,05-03-2017,44700,59115,02,29,1,2,64867.066,54693.004,0,634,45900,0,5.98,171414
269,Jesse Oliver,287-928-266,05-02-2017,42000,55544,02,31,1,1,36384.816,39067.969,0,587,41100,0,5.9000001,194626
270,Connie Nelson,017-230-118,06-05-2017,42400,56073,04,29,1,2,43585.766,49611.816,2,572,44900,0,6.54,173931
271,Nina Lamb,314-962-281,01-04-2017,44200,58454,03,32,0,2,69601.305,51255.125,0,656,57500,49700,7.4499998,173350
272,Cameron Lawrence,120-942-427,04-04-2017,41700,55148,03,29,1,2,28213.791,58725.449,2,558,37800,0,6.1700001,157194
273,Ruben Hunt,153-750-160,06-07-2017,43200,57131,01,39,1,2,47223.035,30756.41,0,655,62400,0,6.7399998,180997
274,Dewey Scott,608-586-681,01-03-2017,44000,58189,01,35,1,2,12251.217,13079.322,2,557,52600,220000,7.48,166644
